Platform,Year,Genre,Publisher
Wii,2006,Sports,Nintendo
NES,1985,Platform,Nintendo
Wii,2008,Racing,Nintendo
Wii,2009,Sports,Nintendo
GB,1996,Role-Playing,Nintendo
GB,1989,Puzzle,Nintendo
DS,2006,Platform,Nintendo
Wii,2006,Misc,Nintendo
Wii,2009,Platform,Nintendo
NES,1984,Shooter,Nintendo
DS,2005,Simulation,Nintendo
DS,2005,Racing,Nintendo
GB,1999,Role-Playing,Nintendo
Wii,2007,Sports,Nintendo
Wii,2009,Sports,Nintendo
X360,2010,Misc,Microsoft Game Studios
PS3,2013,Action,Take-Two Interactive
PS2,2004,Action,Take-Two Interactive
SNES,1990,Platform,Nintendo
DS,2005,Misc,Nintendo
DS,2006,Role-Playing,Nintendo
GB,1989,Platform,Nintendo
NES,1988,Platform,Nintendo
X360,2013,Action,Take-Two Interactive
PS2,2002,Action,Take-Two Interactive
GBA,2002,Role-Playing,Nintendo
DS,2010,Role-Playing,Nintendo
DS,2005,Puzzle,Nintendo
PS2,2001,Racing,Sony Computer Entertainment
X360,2011,Shooter,Activision
GB,1998,Role-Playing,Nintendo
X360,2010,Shooter,Activision
3DS,2013,Role-Playing,Nintendo
PS4,2015,Shooter,Activision
PS3,2012,Shooter,Activision
X360,2012,Shooter,Activision
X360,2009,Shooter,Activision
PS3,2011,Shooter,Activision
PS2,2001,Action,Take-Two Interactive
Wii,2008,Fighting,Nintendo
PS3,2010,Shooter,Activision
DS,2005,Simulation,Nintendo
3DS,2011,Racing,Nintendo
X360,2007,Shooter,Microsoft Game Studios
PS4,2014,Action,Take-Two Interactive
DS,2009,Action,Nintendo
N64,1996,Platform,Nintendo
PS2,2004,Racing,Sony Computer Entertainment
Wii,2007,Platform,Nintendo
3DS,2014,Role-Playing,Nintendo
GB,1992,Adventure,Nintendo
X360,2008,Action,Take-Two Interactive
PS,1997,Racing,Sony Computer Entertainment
3DS,2011,Platform,Nintendo
PS3,2010,Racing,Sony Computer Entertainment
PS3,2009,Shooter,Activision
PS3,2008,Action,Take-Two Interactive
SNES,1993,Platform,Nintendo
GBA,2004,Role-Playing,Nintendo
DS,2004,Platform,Nintendo
Wii,2011,Misc,Ubisoft
X360,2013,Shooter,Activision
X360,2010,Shooter,Microsoft Game Studios
N64,1996,Racing,Nintendo
3DS,2012,Platform,Nintendo
X360,2012,Shooter,Microsoft Game Studios
PS,1997,Role-Playing,Sony Computer Entertainment
PS3,2013,Shooter,Activision
Wii,2010,Misc,Ubisoft
PS,1999,Racing,Sony Computer Entertainment
X360,2007,Shooter,Activision
SNES,1994,Platform,Nintendo
X360,2013,Misc,Microsoft Game Studios
3DS,2012,Simulation,Nintendo
DS,2007,Misc,Nintendo
X360,2011,Role-Playing,Bethesda Softworks
SNES,1992,Racing,Nintendo
PS4,2015,Sports,Electronic Arts
Wii,2010,Misc,Nintendo
XB,2004,Shooter,Microsoft Game Studios
Wii,2007,Misc,Nintendo
DS,2012,Role-Playing,Nintendo
PS3,2012,Action,Electronic Arts
PC,2009,Simulation,Electronic Arts
N64,1997,Shooter,Nintendo
Wii,2007,Sports,Sega
PS2,2001,Role-Playing,Sony Computer Entertainment
PS,1999,Role-Playing,SquareSoft
DS,2008,Role-Playing,Nintendo
2600,1982,Puzzle,Atari
PSP,2005,Action,Take-Two Interactive
Wii,2010,Platform,Nintendo
PS4,2015,Shooter,Electronic Arts
PS4,2014,Shooter,Activision
N64,1998,Action,Nintendo
PS,1997,Platform,Sony Computer Entertainment
NES,1988,Platform,Nintendo
3DS,2014,Fighting,Nintendo
X360,2008,Shooter,Activision
X360,2011,Shooter,Electronic Arts
Wii,2006,Action,Nintendo
XOne,2015,Shooter,Activision
Wii,2009,Misc,Ubisoft
PS3,2011,Shooter,Electronic Arts
PS2,2003,Racing,Electronic Arts
PS,1998,Fighting,Sony Computer Entertainment
PS,1998,Platform,Sony Computer Entertainment
GC,2001,Fighting,Nintendo
WiiU,2014,Racing,Nintendo
PS4,2015,Role-Playing,Bethesda Softworks
GC,2003,Racing,Nintendo
Wii,2012,Misc,Ubisoft
PS3,2013,Sports,Electronic Arts
PS2,2004,Racing,Electronic Arts
PS2,2002,Shooter,Electronic Arts
PS3,2011,Action,Sony Computer Entertainment
PS,1996,Platform,Sony Computer Entertainment
Wii,2010,Sports,505 Games
X360,2008,Shooter,Microsoft Game Studios
PS3,2009,Action,Sony Computer Entertainment
PS3,2007,Shooter,Activision
PS3,2011,Sports,Electronic Arts
DS,2005,Misc,Nintendo
PS3,2010,Action,Take-Two Interactive
PS4,2014,Sports,Electronic Arts
Wii,2010,Platform,Nintendo
PS3,2011,Role-Playing,Bethesda Softworks
NES,1986,Action,Nintendo
PS3,2012,Action,Ubisoft
XB,2001,Shooter,Microsoft Game Studios
GBA,2004,Role-Playing,Nintendo
PS2,2002,Role-Playing,Sony Computer Entertainment
