number_of_time_program_ran,searched_platforms,max_searches,min_searches,mean_searches
2,['WII', '2600'],1,1,0
1,['2600'],0,1,0
1,['WII'],0,1,0
1,['WII'],0,1,0
1,['WII'],1,0,0
1,['WII'],0,1,0
1,['WII'],0,1,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
1,['XB'],0,0,1
1,['XB'],0,0,1
0,[],0,0,0
0,[],0,0,0
1,['XB'],0,0,1
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
1,['SCD'],0,0,1
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
1,['WII'],1,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
1,['WII'],0,1,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
3,[2600, 'Wii', 'XB'],1,1,1
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
1,['Wii'],0,1,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
3,['2600', 'Wii', 'SAT'],1,1,1
0,[],0,0,0
0,[],0,0,0
0,[],0,0,0
3,['Wii', '2600', 'XB'],1,1,1
0,[],0,0,0
3,['Wii', 'XB', '2600'],1,1,1
1,['X360'],1,0,0
2,['3DS', 'PC'],2,0,0
1,['GB'],0,0,1
1,['PS2'],1,0,0
3,['DC', 'Wii', '3DS'],1,1,1
3,['DC', '3DS', 'Wii'],1,1,1
