Rank,Name,Platform
1,Wii Sports,Wii
2,Super Mario Bros.,NES
3,Mario Kart Wii,Wii
4,Wii Sports Resort,Wii
5,Pokemon Red/Pokemon Blue,GB
6,Tetris,GB
7,New Super Mario Bros.,DS
8,Wii Play,Wii
9,New Super Mario Bros. Wii,Wii
10,Duck Hunt,NES
11,Nintendogs,DS
12,Mario Kart DS,DS
13,Pokemon Gold/Pokemon Silver,GB
14,Wii Fit,Wii
15,Wii Fit Plus,Wii
16,Kinect Adventures!,X360
17,Grand Theft Auto V,PS3
18,Grand Theft Auto: San Andreas,PS2
19,Super Mario World,SNES
20,Brain Age: Train Your Brain in Minutes a Day,DS
21,Pokemon Diamond/Pokemon Pearl,DS
22,Super Mario Land,GB
23,Super Mario Bros. 3,NES
24,Grand Theft Auto V,X360
25,Grand Theft Auto: Vice City,PS2
26,Pokemon Ruby/Pokemon Sapphire,GBA
27,Pokemon Black/Pokemon White,DS
28,Brain Age 2: More Training in Minutes a Day,DS
29,Gran Turismo 3: A-Spec,PS2
30,Call of Duty: Modern Warfare 3,X360
31,Pokémon Yellow: Special Pikachu Edition,GB
32,Call of Duty: Black Ops,X360
33,Pokemon X/Pokemon Y,3DS
34,Call of Duty: Black Ops 3,PS4
35,Call of Duty: Black Ops II,PS3
36,Call of Duty: Black Ops II,X360
37,Call of Duty: Modern Warfare 2,X360
38,Call of Duty: Modern Warfare 3,PS3
39,Grand Theft Auto III,PS2
40,Super Smash Bros. Brawl,Wii
41,Call of Duty: Black Ops,PS3
42,Animal Crossing: Wild World,DS
43,Mario Kart 7,3DS
44,Halo 3,X360
45,Grand Theft Auto V,PS4
46,Pokemon HeartGold/Pokemon SoulSilver,DS
47,Super Mario 64,N64
48,Gran Turismo 4,PS2
49,Super Mario Galaxy,Wii
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS
51,Super Mario Land 2: 6 Golden Coins,GB
52,Grand Theft Auto IV,X360
53,Gran Turismo,PS
54,Super Mario 3D Land,3DS
55,Gran Turismo 5,PS3
56,Call of Duty: Modern Warfare 2,PS3
57,Grand Theft Auto IV,PS3
58,Super Mario All-Stars,SNES
59,Pokemon FireRed/Pokemon LeafGreen,GBA
60,Super Mario 64,DS
61,Just Dance 3,Wii
62,Call of Duty: Ghosts,X360
63,Halo: Reach,X360
